procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 96665776 228524 399055232    0    0     0 18178 25023 80397  6  1 93  0  0
 7  0      0 96707440 228532 399058016    0    0     0 17696 25117 81178  6  1 93  0  0
 7  0      0 96609112 228532 399065440    0    0     0 18618 27536 83398  7  1 92  0  0
 7  0      0 96656736 228540 399065632    0    0     0 18030 25514 86739  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
68  0      0 96687632 228540 399068800    0    0     0 18174 24788 81539  6  1 93  0  0
 8  0      0 96702752 228540 399073856    0    0     0 16783 27040 78716  7  1 92  0  0
 8  1      0 96738488 228548 399076800    0    0     0 17312 25092 79678  6  1 93  0  0
10  0      0 96645760 228548 399076128    0    0     0 17274 24452 77882  6  1 93  0  0
 8  0      0 97109928 228548 399167744    0    0   341 34583 32510 82243  7  2 91  0  0
 6  0      0 97071928 228556 399204512    0    0  6890 15489 29618 74989  6  2 92  0  0
 9  0      0 97031648 228560 399217664    0    0     8 15478 28954 75380  7  2 92  0  0
 7  0      0 97250688 228564 399217824    0    0     0 17907 30446 77552  7  2 92  0  0
71  0      0 97265960 228564 399220256    0    0     3 14723 27540 71564  6  1 92  0  0
 6  0      0 97310120 228568 399221632    0    0     0 14746 27241 71016  6  1 92  0  0
 7  0      0 97324432 228568 399224256    0    0     0 15626 25907 70378  6  2 92  0  0
 7  0      0 97357784 228568 399226944    0    0     0 14138 25967 72695  6  2 92  0  0
 8  1      0 97374336 228568 399229184    0    0     0 13802 25500 66920  6  2 92  0  0
 5  0      0 97388528 228568 399231456    0    0     0 14968 26581 71762  6  2 92  0  0
 9  1      0 97402856 228568 399235968    0    0     0 14344 24934 67898  6  1 92  0  0
 6  1      0 97412016 228568 399235104    0    0     0 14328 23240 67010  5  1 94  0  0
 7  0      0 97423584 228568 399237440    0    0     0 14756 23941 68623  5  1 94  0  0
10  1      0 97433472 228568 399239040    0    0     0 14645 25264 69233  6  1 93  0  0
 6  0      0 97441880 228568 399240928    0    0     0 14248 23569 66515  5  1 93  0  0
 5  1      0 97449632 228568 399243104    0    0     0 14495 23755 69119  5  1 94  0  0
 6  0      0 97445952 228572 399245120    0    0     0 14393 23513 66908  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 97464528 228576 399238464    0    0     0 15252 25095 70178  6  1 93  0  0
 6  0      0 97462816 228576 399241472    0    0     0 14777 22206 64079  5  1 94  0  0
 6  1      0 97486784 228580 399243456    0    0     0 13307 21803 66398  5  1 94  0  0
 8  0      0 97491232 228580 399245536    0    0     0 14218 26026 69372  6  1 92  0  0
 7  0      0 97498576 228580 399249664    0    0     0 14922 22810 66329  5  1 94  0  0
 3  0      0 97515616 228580 399249216    0    0     0 14769 22626 66521  5  1 94  0  0
 6  0      0 97504080 228580 399251072    0    0     0 14555 24607 68396  6  1 93  0  0
 5  1      0 97513184 228588 399253152    0    0     0 14841 23588 67108  5  1 93  0  0
 6  0      0 97523408 228588 399255296    0    0     0 14997 22986 68095  5  1 94  0  0
 4  0      0 97524240 228588 399258432    0    0     0 15886 26966 73621  6  1 93  0  0
10  1      0 97518960 228588 399260352    0    0     0 15367 28695 73331  6  2 92  0  0
 8  0      0 97518040 228588 399262592    0    0     0 15165 26361 70834  6  2 92  0  0
 7  0      0 97509120 228596 399264000    0    0     0 15334 26708 71369  6  2 92  0  0
 4  0      0 97503000 228596 399266688    0    0     0 15260 26952 72254  6  2 92  0  0
 9  0      0 97508136 228604 399268960    0    0     0 16138 28493 78972  6  2 92  0  0
 5  0      0 97502704 228604 399270592    0    0     0 15026 27190 72576  6  2 92  0  0
 4  0      0 97488640 228612 399266496    0    0     0  6467 15954 28267  5  1 94  0  0
 5  0      0 97495696 228612 399265760    0    0     1  6965 15563 28038  5  1 94  0  0
 8  0      0 97497992 228612 399266112    0    0     0  1719 15924 26237  5  1 95  0  0
32  0      0 97503440 228616 399266304    0    0     0   321 15728 27124  5  1 94  0  0
 4  0      0 97513312 228616 399266080    0    0     0   692 12883 24026  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 97521432 228616 399266848    0    0     0  2079 13080 23045  4  1 95  0  0
 4  0      0 97528248 228616 399266528    0    0     0   283 13657 24565  4  1 95  0  0
